Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,791,1,Apr 1,TEX,@,TOR,"L,1-8",CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0.5,1,3,0.78,0.003,0.8,0,0.1,SS
2,792,2,Apr 3,TEX,,ANA,"W,3-2",CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0.375,0.375,0.375,0.75,3,0.99,-0.024,1.15,-0.0002,-0.37,SS
3,793,3,Apr 4,TEX,,ANA,"W,7-3",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,3,0.57,-0.051,0.68,-0.0004,-1.05,SS
4,794,4,Apr 5,TEX,,ANA,"L,3-10",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.25,0.25,0.25,0.5,3,0.78,-0.056,0.98,-0.0004,-0.76,SS
5,795,5,Apr 6,TEX,,SEA,"L,7-9",CG(10),5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.25,0.286,0.25,0.536,3,0.76,-0.033,0.92,-0.0002,0.11,SS
6,796,6,Apr 7,TEX,,SEA,"L,5-6",CG,5,5,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0.32,0.346,0.44,0.786,3,1.81,0.34,2.14,0.0024,2.2,SS
7,797,7,Apr 8,TEX,,SEA,"W,5-4",CG,5,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0.296,0.387,0.407,0.795,3,1.26,0.036,1.46,0.0003,0.31,SS
8,798,8,Apr 10,TEX,@,ANA,"W,7-5",CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.258,0.361,0.355,0.716,3,0.39,-0.019,0.45,-0.0001,-0.49,SS
9,799,9,Apr 11,TEX,@,ANA,"L,2-7",CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.242,0.375,0.333,0.708,3,0.44,-0.007,0.54,-0.0001,0.34,SS
10,800,10,Apr 12,TEX,@,ANA,"L,3-13",GS-7,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,0.409,0.405,0.814,3,0.56,0.021,0.66,0.0002,0.64,SS
11,801,11,Apr 13,TEX,@,OAK,"W,13-1",GS-7,4,2,2,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0.308,0.417,0.487,0.904,3,0.26,0.029,0.27,0.0002,1.1,SS
12,802,12,Apr 14,TEX,@,OAK,"W,9-8",CG,5,5,1,3,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0.341,0.434,0.568,1.002,3,1.5,0.322,1.58,0.002,4.13,SS
13,803,13,Apr 15,TEX,@,OAK,"W,10-8",CG,5,3,2,2,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0.362,0.466,0.702,1.168,3,0.82,0.505,0.93,0.0034,4.55,SS
14,804,14,Apr 16,TEX,@,SEA,"L,7-9",CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.346,0.444,0.654,1.098,3,0.84,-0.037,1.16,-0.0003,-0.39,SS
15,805,15,Apr 17,TEX,@,SEA,"L,4-6",CG,4,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.345,0.448,0.636,1.084,3,0.89,0.088,1.15,0.0007,0.51,SS
16,806,16,Apr 18,TEX,@,SEA,"W,8-6",CG,6,4,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0.339,0.438,0.627,1.065,3,0.56,-0.001,0.71,0,-0.74,SS
17,807,17,Apr 19,TEX,,OAK,"L,5-9",CG,5,4,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0.333,0.436,0.651,1.087,3,1.66,0.028,1.93,0.0002,0.01,SS
18,808,18,Apr 20,TEX,,OAK,"W,9-6",CG,5,4,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0.328,0.434,0.672,1.105,3,0.4,0.096,0.43,0.0006,0.57,SS
