Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1905,1,Apr 1,NYY,,TOR,"W,3-2",CG,4,3,1,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0.667,0.75,1,1.75,4,1.25,0.076,1.36,0.0005,0.81,3B
2,1906,2,Apr 2,NYY,,TOR,"L,2-5",CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.429,0.5,1,1.5,4,1.46,-0.048,1.62,-0.0003,0.63,3B
3,1907,3,Apr 3,NYY,,TOR,"W,3-2",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.273,0.333,0.636,0.97,4,1.55,-0.182,1.61,-0.0011,-1.72,3B
4,1908,4,Apr 4,NYY,,TBR,"L,4-13",GS-8,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.333,0.571,0.905,4,0.98,-0.057,1.09,-0.0004,-0.47,3B
5,1909,5,Apr 5,NYY,,TBR,"L,3-6",CG,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.333,0.368,0.611,0.98,4,0.71,0.104,0.75,0.0007,1.36,3B
6,1910,6,Apr 6,NYY,,TBR,"W,2-0",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.391,0.619,1.01,4,0.78,0.036,0.81,0.0002,0.26,3B
7,1911,7,Apr 7,NYY,,TBR,"W,6-1",CG,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.32,0.37,0.56,0.93,4,0.86,-0.038,0.92,-0.0002,-0.74,3B
8,1912,8,Apr 8,NYY,@,KCR,"L,2-5",CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.276,0.323,0.483,0.805,4,1.18,-0.116,1.19,-0.0007,-1.09,3B
9,1913,9,Apr 9,NYY,@,KCR,"L,0-4",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,0.343,0.515,0.858,4,0.55,0,0.53,0,0.13,3B
10,1914,10,Apr 10,NYY,@,KCR,"W,6-1",CG,5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.297,0.35,0.568,0.918,3,0.62,0.022,0.59,0.0001,0.95,3B
11,1915,11,Apr 11,NYY,@,BOS,"W,4-1",CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.356,0.548,0.903,4,0.55,-0.009,0.62,-0.0001,-0.23,3B
12,1916,12,Apr 12,NYY,@,BOS,"L,3-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.289,0.347,0.511,0.858,4,1.71,-0.087,1.96,-0.0006,-0.46,3B
13,1917,13,Apr 13,NYY,@,BOS,"L,5-8",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.26,0.315,0.46,0.775,4,1.02,-0.176,1.13,-0.0012,-1.97,3B
14,1918,14,Apr 14,NYY,@,TBR,"W,8-7",CG,5,5,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.309,0.356,0.545,0.901,4,0.61,0.057,0.64,0.0004,1.3,3B
15,1919,15,Apr 15,NYY,@,TBR,"W,5-3",CG,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.3,0.344,0.533,0.877,4,1.23,0.065,1.34,0.0004,-0.48,3B
16,1920,16,Apr 16,NYY,,BOS,"W,15-9",CG,5,4,2,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0.313,0.362,0.594,0.956,4,0.6,0.083,0.7,0.0006,1.8,3B
17,1921,17,Apr 17,NYY,,BOS,"L,5-7",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0.356,0.574,0.93,4,0.7,-0.028,0.89,-0.0002,-0.32,3B
18,1922,18,Apr 18,NYY,@,BAL,"L,2-8",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.296,0.351,0.549,0.9,4,1.1,0.003,1.33,0,-0.53,3B
19,1923,19,Apr 19,NYY,@,BAL,"L,0-6",CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307,0.358,0.547,0.905,4,0.82,-0.041,0.94,-0.0003,-0.32,DH
20,1924,20,Apr 20,NYY,@,BAL,"W,7-1",GS-6,3,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.308,0.357,0.551,0.908,4,1.22,0.059,1.37,0.0004,0.29,3B
21,1925,24 (3),Apr 25,NYY,@,CLE,"L,4-6",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0.341,0.524,0.865,4,1.07,-0.112,1.17,-0.0007,-0.9,3B
22,1926,25,Apr 26,NYY,@,CLE,"L,3-4",CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.302,0.348,0.523,0.871,4,1.54,-0.008,1.66,-0.0001,0.16,DH
23,1927,26,Apr 27,NYY,@,CLE,"W,1-0",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.292,0.344,0.506,0.849,4,1,-0.091,1.02,-0.0006,-0.79,3B
24,1928,27,Apr 28,NYY,@,CLE,"W,5-2",GS-8,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.286,0.343,0.495,0.838,4,2.03,0.049,2.24,0.0003,0.14,DH
25,1929,45 (17),May 20,NYY,,BAL,"L,2-12",GS-8,3,3,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0.287,0.343,0.521,0.864,4,0.1,0.01,0.08,0.0001,2.01,3B
26,1930,46,May 21,NYY,,BAL,"W,8-0",GS-7,4,4,2,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0.306,0.358,0.582,0.94,4,0.36,0.036,0.25,0.0002,2.36,3B
27,1931,47,May 22,NYY,,BAL,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.294,0.345,0.559,0.904,4,1.66,-0.165,1.28,-0.0008,-1.13,3B
28,1932,48,May 23,NYY,,SEA,"W,13-2",GS-7,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.292,0.342,0.547,0.889,3,0.34,-0.036,0.25,-0.0002,0.26,3B
29,1933,49,May 24,NYY,,SEA,"W,12-6",GS-7,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.291,0.345,0.536,0.881,4,0.51,-0.005,0.42,0,0.08,3B
30,1934,50,May 25,NYY,,SEA,"W,6-5",CG,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0.295,0.358,0.536,0.893,4,1.61,0.16,1.36,0.0008,0.89,3B
31,1935,51,May 26,NYY,@,BAL,"L,1-6",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0.289,0.362,0.526,0.889,4,0.96,0.051,0.95,0.0003,0.19,3B
32,1936,52,May 27,NYY,@,BAL,"L,9-10",CG(11),6,5,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0.286,0.361,0.538,0.899,4,1.7,-0.367,1.57,-0.002,-1.56,3B
33,1937,53,May 28,NYY,@,BAL,"W,4-2",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.35,0.52,0.871,4,1.17,-0.125,1.06,-0.0007,-1.14,3B
34,1938,54,May 30,NYY,@,MIN,"W,6-5",CG,5,4,0,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0.291,0.366,0.543,0.91,3,1.16,0.226,1.03,0.0012,2.18,3B
35,1939,55,May 31,NYY,@,MIN,"W,7-6",CG(12),6,5,0,1,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0.288,0.365,0.53,0.895,4,1.77,0.039,1.64,0.0002,0.4,3B
36,1940,56,Jun 1,NYY,@,MIN,"L,1-5",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.287,0.362,0.522,0.884,4,1.41,-0.108,1.41,-0.0007,-1.06,3B
37,1941,57,Jun 2,NYY,@,MIN,"L,5-6",CG,5,4,2,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0.3,0.376,0.557,0.933,4,1.67,0.404,1.58,0.0023,2.82,3B
38,1942,58,Jun 3,NYY,,TOR,"L,3-9",CG,5,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.294,0.377,0.545,0.922,4,0.82,-0.01,0.77,-0.0001,-0.68,3B
39,1943,59,Jun 4,NYY,,TOR,"W,5-1",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0.373,0.544,0.918,4,0.55,-0.038,0.46,-0.0002,-0.5,3B
40,1944,60,Jun 5,NYY,,TOR,"W,9-8",CG,5,3,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0.293,0.368,0.54,0.908,4,1.49,-0.087,1.33,-0.0005,-0.75,3B
41,1945,61,Jun 6,NYY,,KCR,"L,1-2",CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.299,0.371,0.545,0.917,4,1.61,-0.132,1.37,-0.0007,-1.05,3B
42,1946,62,Jun 7,NYY,,KCR,"W,12-11",CG,5,4,2,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0.304,0.378,0.563,0.941,4,1.47,0.045,1.16,0.0002,1.63,3B
43,1947,63,Jun 8,NYY,,KCR,"W,6-3",CG,4,2,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.313,0.391,0.575,0.966,4,0.8,0.146,0.65,0.0007,1.58,3B
44,1948,64,Jun 9,NYY,,KCR,"L,2-3",CG,4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.317,0.394,0.591,0.985,4,1.88,0.349,1.73,0.0019,1.3,3B
45,1949,65,Jun 10,NYY,@,OAK,"W,3-1",CG,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.321,0.396,0.589,0.985,4,1.36,-0.023,1.18,-0.0001,-0.16,3B
46,1950,66,Jun 11,NYY,@,OAK,"L,4-8",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.314,0.388,0.576,0.963,4,0.69,-0.076,0.68,-0.0005,-1.42,3B
47,1951,67,Jun 12,NYY,@,OAK,"W,4-1",CG,4,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.316,0.395,0.575,0.97,4,1.32,0.152,1.25,0.0009,0.99,3B
