Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
2010,27,788,28,7-May,NYY,@,BOS,"W,10-3",CG,5,5,1,1,0,0,1,3,0,0,2,0,0,0,0,1,0,0,0.29,0.372,0.56,0.932,6,0.68,0.248,1.02,0.23%,1.17,RF
2010,28,789,29,8-May,NYY,@,BOS,"W,14-3",CG,5,4,2,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0.298,0.381,0.558,0.939,6,0.92,0.012,1.34,0.01%,2.23,RF
2010,29,790,30,9-May,NYY,@,BOS,"L,3-9",CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.306,0.385,0.583,0.969,2,0.38,0.012,0.52,0.01%,1.21,RF
2010,30,791,31,10-May,NYY,@,DET,"L,4-5",CG,5,3,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.306,0.394,0.577,0.97,2,1.34,0.004,1.8,0.00%,0.51,RF
2010,31,792,32,May 12 (1),NYY,@,DET,"L,0-2",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.304,0.389,0.565,0.955,7,1.25,-0.087,1.76,-0.07%,-0.65,RF
2010,32,793,33,May 12 (2),NYY,@,DET,"W,8-0",GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.297,0.381,0.551,0.931,6,0.65,-0.05,0.87,-0.04%,-0.64,RF
2010,33,794,35 (1),14-May,NYY,,MIN,"W,8-4",GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.294,0.378,0.546,0.924,6,0.46,-0.012,0.63,-0.01%,-0.11,RF
2010,34,795,36,15-May,NYY,,MIN,"W,7-1",GS-9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.293,0.379,0.537,0.915,2,0.64,-0.03,0.91,-0.03%,-0.07,RF
2010,35,796,37,16-May,NYY,,MIN,"L,3-6",8-Aug,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.293,0.379,0.537,0.915,7,,,,,,PH
2010,36,797,41 (3),20-May,NYY,,TBR,"L,6-8",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.291,0.375,0.528,0.903,6,0.89,-0.055,1.4,-0.05%,-0.33,RF
2010,37,798,42,21-May,NYY,@,NYM,"W,2-1",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.29,0.372,0.519,0.891,6,1.12,-0.061,1.44,-0.05%,-0.79,RF
2010,38,799,43,22-May,NYY,@,NYM,"L,3-5",CG,5,4,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.304,0.386,0.533,0.919,6,0.83,0.111,1.09,0.09%,1.04,RF
