Year,Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1999,30,398,94 (1),Jul 22 (1),COL,@,LAD,"W,4-1",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.398,0.605,1.003,8,0.89,-0.061,0.2,-0.0001,-0.76,3B 2B
1999,31,399,95,Jul 22 (2),COL,@,LAD,"W,12-11",3-GF,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.31,0.385,0.583,0.969,7,1.13,-0.091,0.3,-0.0001,-1.12,PH 2B
1999,32,400,96,Jul 23,COL,,STL,"L,4-6",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.39,0.591,0.981,8,0.9,-0.036,0.25,-0.0001,-0.42,2B CF
1999,33,401,97,Jul 24,COL,,STL,"L,2-10",CG,5,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.319,0.4,0.593,0.993,8,0.42,0.012,0.09,0,-0.48,2B CF
1999,34,402,98,Jul 25,COL,,STL,"L,4-6",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.326,0.404,0.6,1.004,7,0.84,0.015,0.14,0,0.22,2B
1999,35,403,99,Jul 26,COL,,HOU,"L,5-8",CG,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.323,0.398,0.586,0.984,8,1.13,-0.011,0.16,0,-0.21,3B 2B
1999,36,404,100,Jul 27,COL,,HOU,"L,3-6",CG,4,3,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0.324,0.393,0.578,0.972,7,1.07,-0.048,0.12,0,-0.42,2B
1999,37,405,101,Jul 28,COL,,HOU,"L,8-16",CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.33,0.402,0.575,0.977,7,0.37,-0.02,0.02,0,1.33,2B
1999,38,406,102,Jul 29,COL,,HOU,"W,4-2",CG,4,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.339,0.413,0.578,0.991,7,0.62,0.015,0.03,0,0.57,2B
1999,39,407,103,Jul 30,COL,@,STL,"W,5-4",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.336,0.408,0.593,1.001,7,1.04,0.325,0.06,0.0001,1.16,2B
1999,40,408,104,Jul 31,COL,@,STL,"L,5-6",GS-7,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.41,0.598,1.009,7,2.2,-0.101,0.15,0,-0.65,2B
1999,41,409,105,Aug 1,COL,@,STL,"W,5-4",CG,4,3,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.35,0.413,0.6,1.013,7,1.02,0.031,0.04,0,0,2B
1999,42,410,106,Aug 3,COL,@,CIN,"L,1-2",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.339,0.401,0.581,0.982,7,1.9,-0.296,0.14,-0.0001,-1.7,2B
1999,43,411,107,Aug 4,COL,@,CIN,"L,3-6",CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.333,0.404,0.571,0.976,7,1.21,0.047,0.06,0,0.25,2B
1999,44,412,109 (1),Aug 6,COL,@,FLA,"L,1-9",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.333,0.404,0.571,0.976,9,,,,,,LF
1999,45,413,110,Aug 7,COL,@,FLA,"L,1-4",7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.331,0.401,0.567,0.968,9,3.3,-0.178,0.13,0,-1.15,PH
1999,46,414,111,Aug 8,COL,@,FLA,"L,1-2",CG,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.331,0.404,0.569,0.973,2,1.24,0.081,0.04,0,0.48,3B
1999,47,415,112,Aug 9,COL,@,MIL,"L,6-7",8-GF,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.412,0.576,0.988,9,1.65,0.179,0.03,0,1.35,PH 2B
1999,48,416,113,Aug 10,COL,@,MIL,"L,1-2",9-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.341,0.412,0.576,0.988,5,,,,,,PR 3B
1999,49,417,115 (1),Aug 13 (1),COL,,MON,"L,13-14",9-GF(10),2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.343,0.413,0.582,0.995,8,3.46,0.295,0.02,0,0.75,PH 3B
1999,50,418,116,Aug 13 (2),COL,,MON,"L,6-8",9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.41,0.578,0.988,2,1.64,-0.045,0.01,0,-0.23,PH
1999,51,419,118 (1),Aug 15 (1),COL,,MON,"W,8-2",CG,4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.341,0.413,0.58,0.992,2,1.16,0.058,0,0,0.84,2B
1999,52,420,119,Aug 15 (2),COL,,MON,"W,12-4",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.341,0.413,0.58,0.992,4,,,,,,3B
1999,53,421,120,Aug 16,COL,,ATL,"L,6-14",CG,5,4,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0.338,0.406,0.57,0.976,2,1.03,-0.072,0,0,-0.57,2B CF
1999,54,422,121,Aug 17,COL,,ATL,"W,3-2",7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0.404,0.566,0.97,9,1.26,-0.039,0,0,-0.4,PH
1999,55,423,122,Aug 18,COL,,ATL,"W,4-1",9-GF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.336,0.407,0.566,0.974,2,3.03,0.096,0.01,0,0.63,PH
1999,56,424,123,Aug 19,COL,,ATL,"L,7-9",CG(14),7,7,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.333,0.402,0.553,0.956,2,1.44,-0.168,0.01,0,-1.02,2B
1999,57,425,124,Aug 20,COL,@,CHC,"W,11-3",CG,6,5,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0.329,0.397,0.555,0.951,2,0.57,-0.001,0,0,0.28,2B
1999,58,426,126 (1),Aug 22,COL,@,CHC,"W,3-2",CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.331,0.397,0.556,0.953,2,1.06,-0.015,0,0,-0.06,2B
1999,59,427,127,Aug 24,COL,@,PIT,"W,3-2",CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329,0.394,0.555,0.948,2,1.17,-0.038,0,0,-0.58,2B
1999,60,428,128,Aug 25,COL,@,PIT,"L,3-9",7-GF,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.331,0.395,0.56,0.955,1,0.03,0.002,0,0,0.38,SS
