Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
140,1539,141,Sep 12,STL,@,ATL,"W,7-3",CG,5,5,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,.309,.401,.598,.999,3,.44,0.200,.22,0.06%,1.27,1B
141,1540,142,Sep 13,STL,,CHC,"L,1-5",CG,5,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.308,.401,.595,.996,3,.74,-0.027,.50,-0.01%,-0.45,1B
142,1541,144 (1),Sep 15,STL,,CHC,"L,3-7",CG,5,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.307,.403,.593,.995,3,1.28,0.007,.34,0.00%,-0.06,1B
143,1542,145,Sep 16,STL,,SDP,"W,4-0",CG,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.306,.402,.592,.993,3,.93,0.040,.11,0.00%,0.25,1B
144,1543,146,Sep 17,STL,,SDP,"W,14-4",GS-9,5,5,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.309,.403,.594,.997,3,.74,0.214,.15,0.03%,2.15,1B
145,1544,147,Sep 18,STL,,SDP,"L,4-8",CG,5,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,.307,.403,.590,.994,3,1.46,-0.042,.52,-0.01%,-0.29,1B
146,1545,148,Sep 19,STL,,SDP,"W,4-1",CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.307,.404,.589,.993,3,.46,0.027,.04,0.00%,0.13,1B
147,1546,149,Sep 20,STL,@,FLA,"L,0-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.306,.403,.586,.989,3,.34,-0.004,.07,0.00%,-0.11,1B
148,1547,150,Sep 21,STL,@,PIT,"L,2-5",CG,4,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.307,.403,.587,.990,3,1.32,0.126,.07,0.00%,1.54,1B
149,1548,151,Sep 22,STL,@,PIT,"L,6-11",GS-6,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.306,.403,.585,.988,3,.53,-0.021,.00,0.00%,-0.34,1B
