Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,2043,29 (28),May 8,NYY,@,BAL,"W,4-0",CG,4,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0.25,0.25,1,1.25,4,0.72,0.177,0.63,0.0009,1.7,3B
2,2044,30,May 9,NYY,@,BAL,"L,5-12",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.143,0.25,0.571,0.821,4,0.4,-0.029,0.4,-0.0002,-0.1,3B
3,2045,31,May 10,NYY,@,BAL,"W,5-3",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.25,0.455,0.705,4,0.66,-0.05,0.62,-0.0003,-0.55,3B
4,2046,32,May 12,NYY,@,TOR,"L,1-5",CG,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.214,0.267,0.429,0.695,4,0.93,0.014,1.01,0.0001,0.4,3B
5,2047,33,May 13,NYY,@,TOR,"W,8-2",GS-9,5,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.188,0.35,0.375,0.725,4,0.41,0.013,0.42,0.0001,0,3B
6,2048,34,May 14,NYY,@,TOR,"W,3-2",CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.28,0.286,0.566,4,1.55,-0.19,1.83,-0.0014,-1.57,3B
7,2049,35,May 15,NYY,,MIN,"W,5-4",GS-9,5,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0.136,0.367,0.273,0.639,4,2.5,0.218,2.8,0.0015,0.71,3B
8,2050,36,May 16,NYY,,MIN,"W,6-4",CG(11),5,4,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0.154,0.371,0.385,0.756,4,1.77,0.198,1.97,0.0013,0.64,3B
9,2051,37,May 17,NYY,,MIN,"W,3-2",CG(10),4,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.172,0.385,0.483,0.867,4,1.99,0.099,2.36,0.0007,0.62,3B
10,2052,38,May 18,NYY,,MIN,"W,7-6",CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.188,0.395,0.563,0.958,4,0.43,0.074,0.51,0.0005,0.95,DH
11,2053,39,May 19,NYY,,BAL,"W,9-1",GS-8,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.194,0.383,0.611,0.994,4,0.9,0.106,1.14,0.0008,0.88,3B
12,2054,40,May 20,NYY,,BAL,"W,11-4",GS-9,4,1,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0.189,0.412,0.595,1.006,4,0.61,-0.019,0.8,-0.0002,-0.05,3B
13,2055,41,May 21,NYY,,BAL,"W,7-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.382,0.537,0.918,4,0.43,-0.054,0.57,-0.0004,-1.73,3B
14,2056,42,May 22,NYY,,PHI,"L,3-7",CG,4,4,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.2,0.39,0.622,1.012,4,0.69,-0.035,0.88,-0.0003,0.23,3B
15,2057,43,May 23,NYY,,PHI,"W,5-4",CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0.204,0.381,0.653,1.034,4,1.7,0.302,2.25,0.0024,0.2,DH
16,2058,44,May 24,NYY,,PHI,"L,3-4",CG(11),5,4,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0.189,0.368,0.604,0.971,4,2.01,-0.134,2.53,-0.001,-0.89,3B
17,2059,45,May 25,NYY,@,TEX,"W,11-1",GS-8,5,5,2,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0.259,0.411,0.672,1.083,4,0.54,0.137,0.74,0.0011,4.38,3B
18,2060,46,May 26,NYY,@,TEX,"L,3-7",CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.258,0.41,0.645,1.055,4,1,-0.055,1.44,-0.0005,-0.56,3B
19,2061,47,May 27,NYY,@,TEX,"W,9-2",GS-9,5,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.258,0.41,0.636,1.046,4,0.43,0.012,0.61,0.0001,-0.44,3B
20,2062,48,May 29,NYY,@,CLE,"W,3-1",CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.257,0.409,0.614,1.023,4,0.89,-0.014,1.24,-0.0001,-0.31,3B
21,2063,49,May 30,NYY,@,CLE,"W,10-5",GS-9,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.26,0.419,0.603,1.022,4,0.38,0.027,0.54,0.0002,-0.31,3B
22,2064,50,May 31,NYY,@,CLE,"L,4-5",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.412,0.584,0.997,4,1.18,-0.099,1.7,-0.0009,-0.67,3B
23,2065,51,Jun 1,NYY,@,CLE,"W,5-2",CG,5,4,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0.259,0.412,0.568,0.98,4,1.45,-0.044,2.11,-0.0004,-0.58,DH
24,2066,52,Jun 2,NYY,,TEX,"W,12-3",GS-7,4,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0.406,0.548,0.953,4,1.61,-0.104,2.37,-0.0009,-1.24,3B
25,2067,53,Jun 3,NYY,,TEX,"L,2-4",CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0.25,0.4,0.534,0.934,4,1.94,-0.209,2.83,-0.0018,-1.67,3B
26,2068,54,Jun 4,NYY,,TEX,"W,8-6",CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.395,0.522,0.916,4,1.3,-0.068,1.95,-0.0006,-1.02,3B
27,2069,55,Jun 6,NYY,,TBR,"L,7-9",CG,5,3,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0.253,0.403,0.547,0.951,4,1.63,0.061,2.63,0.0006,1.36,3B
28,2070,56,Jun 7,NYY,,TBR,"W,4-3",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.255,0.407,0.541,0.947,4,1.83,0.057,2.97,0.0006,0.27,3B
29,2071,57,Jun 8,NYY,,TBR,"W,5-3",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.248,0.402,0.525,0.926,4,0.57,-0.043,0.93,-0.0004,-0.83,3B
