Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
67,1107,69,Jun 22,DET,@,NYM,"L,6-14",CG,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.327,.409,.630,1.039,4,.22,-0.024,.30,-0.02%,0.16,1B
68,1108,70,Jun 23,DET,@,NYM,"L,0-5",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.326,.407,.624,1.031,4,1.11,-0.102,1.49,-0.08%,-0.71,1B
69,1109,71,Jun 24,DET,@,NYM,"W,6-5",CG,5,4,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.328,.407,.622,1.029,4,.76,0.020,1.01,0.02%,0.38,1B
70,1110,72,Jun 25,DET,@,ATL,"L,1-3",CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.331,.408,.620,1.028,4,1.11,0.002,1.57,0.00%,0.14,1B
71,1111,73,Jun 26,DET,@,ATL,"L,3-4",CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.330,.406,.626,1.032,4,1.32,-0.025,1.80,-0.02%,0.34,1B
72,1112,74,Jun 27,DET,@,ATL,"W,10-4",CG,5,4,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.332,.409,.624,1.033,4,.53,0.025,.65,0.02%,1.11,1B
73,1113,75,Jun 28,DET,@,MIN,"W,7-5",CG,5,4,1,2,2,0,0,2,1,0,2,0,0,0,0,0,0,1,.335,.412,.629,1.041,4,.91,0.085,1.70,0.10%,1.07,1B
74,1114,76,Jun 29,DET,@,MIN,"L,4-11",GS-6,3,3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.338,.414,.630,1.044,4,.94,0.079,1.79,0.09%,0.93,1B
75,1115,77,Jun 30,DET,@,MIN,"L,1-5",CG,4,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,.337,.412,.628,1.040,4,.68,0.120,1.32,0.14%,0.93,1B
Jul,Jul,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
76,1116,79 (1),Jul 3,DET,,SEA,"W,6-1",CG,4,2,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,.338,.416,.631,1.047,4,.45,0.080,.63,0.07%,0.75,1B
77,1117,80,Jul 4,DET,,SEA,"L,1-8",GS-7,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.339,.419,.630,1.048,4,1.07,0.136,1.53,0.12%,1.22,1B
78,1118,81,Jul 5,DET,,BAL,"W,12-9",CG,6,6,2,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,.339,.417,.631,1.048,4,.77,0.200,1.06,0.17%,1.27,1B
79,1119,82,Jul 6,DET,,BAL,"W,7-5",CG(11),5,5,2,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,.343,.420,.647,1.066,4,1.59,0.513,2.25,0.44%,2.13,1B
80,1120,83,Jul 7,DET,,BAL,"W,4-2",CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.347,.424,.647,1.070,4,.46,0.014,.65,0.01%,0.47,1B
81,1121,84,Jul 9,DET,,MIN,"W,7-3",CG,4,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.346,.422,.644,1.065,4,.50,0.056,1.00,0.07%,-0.01,1B
82,1122,85,Jul 10,DET,,MIN,"W,7-4",CG,4,3,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.346,.423,.650,1.073,4,.36,0.179,.67,0.20%,1.87,1B
83,1123,86,Jul 11,DET,,MIN,"L,3-6",CG,4,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.346,.423,.651,1.074,4,1.20,0.156,2.27,0.18%,1.40,1B
84,1124,87,Jul 16,DET,@,CLE,"L,2-8",CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.346,.424,.648,1.072,4,1.15,0.094,1.62,0.08%,0.46,1B
85,1125,88,Jul 17 (1),DET,@,CLE,"L,3-4",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.343,.422,.642,1.064,4,1.54,-0.152,2.21,-0.13%,-1.55,1B
86,1126,89,Jul 17 (2),DET,@,CLE,"L,1-2",CG(11),5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.341,.419,.635,1.054,4,1.50,-0.143,2.07,-0.12%,-1.10,1B
87,1127,90,Jul 18,DET,@,CLE,"L,2-7",CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.337,.415,.629,1.044,4,.67,-0.059,.88,-0.05%,-0.60,1B
88,1128,91,Jul 19,DET,,TEX,"L,6-8",CG(14),7,6,2,3,0,0,2,3,1,1,1,0,0,0,0,0,0,0,.340,.418,.645,1.062,4,2.17,0.106,2.90,0.09%,1.90,1B
89,1129,92,Jul 20,DET,,TEX,"L,0-8",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.342,.419,.646,1.064,4,.53,-0.018,.67,-0.01%,0.21,1B
90,1130,93,Jul 21,DET,,TEX,"W,4-1",CG,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.342,.417,.643,1.060,4,1.03,-0.036,1.20,-0.03%,-0.32,1B
91,1131,94,Jul 22,DET,,TOR,"W,5-2",CG,4,4,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,.347,.420,.650,1.070,4,1.94,0.405,2.34,0.29%,3.15,1B
