Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,1276,1,Mar 30,NYY,@,TBD,"L,3-8",CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,3,0.81,0.039,0.88,0.0003,-0.09,3B
2,1277,2,Mar 31,NYY,@,TBD,"W,12-1",CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111,0.111,0.222,0.333,3,0.68,-0.114,0.72,-0.0007,-2.31,3B
3,1278,3,Apr 6,NYY,@,TBD,"L,4-9",CG,5,3,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0.167,0.286,0.5,0.786,3,0.82,0.171,0.91,0.0012,1.69,3B
4,1279,4,Apr 7,NYY,@,TBD,"W,3-2",CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.188,0.278,0.438,0.715,3,1.26,0.005,1.36,0,-0.33,3B
5,1280,5,Apr 8,NYY,,CHW,"W,3-1",CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.167,0.318,0.389,0.707,3,0.84,0.029,0.85,0.0002,0.38,3B
6,1281,6,Apr 9,NYY,,CHW,"L,3-9",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.143,0.308,0.333,0.641,3,0.65,0.006,0.7,0,-0.3,3B
7,1282,7,Apr 10,NYY,,CHW,"L,3-7",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.16,0.3,0.32,0.62,3,1.16,-0.053,1.16,-0.0003,-0.5,3B
8,1283,8,Apr 11,NYY,,CHW,"W,5-4",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.172,0.294,0.345,0.639,3,1.2,-0.095,1.18,-0.0006,-0.91,3B
9,1284,9,Apr 14,NYY,,TBD,"W,5-1",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.316,0.394,0.71,3,0.6,0.005,0.68,0,0.07,3B
10,1285,10,Apr 16,NYY,@,BOS,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.189,0.286,0.351,0.637,3,1.03,-0.097,1.25,-0.0007,-1.08,3B
11,1286,11,Apr 17,NYY,@,BOS,"L,2-5",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.171,0.261,0.317,0.578,3,1.23,-0.175,1.41,-0.0012,-1.77,3B
12,1287,12,Apr 18,NYY,@,BOS,"W,7-3",CG,6,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.156,0.269,0.289,0.558,3,0.47,0.011,0.53,0.0001,-1.41,3B
13,1288,13,Apr 19,NYY,@,BOS,"L,4-5",CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.16,0.263,0.28,0.543,3,1.11,-0.061,1.28,-0.0004,-1.23,3B
14,1289,14,Apr 20,NYY,@,CHW,"W,11-8",CG,6,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.196,0.286,0.304,0.589,3,0.6,0.061,0.62,0.0004,0.7,3B
15,1290,15,Apr 21,NYY,@,CHW,"W,3-1",CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.203,0.299,0.356,0.654,3,0.87,0.173,0.9,0.0011,1.08,3B
16,1291,16,Apr 22,NYY,@,CHW,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.296,0.349,0.645,3,1.14,-0.019,1.25,-0.0001,-0.42,3B
17,1292,17,Apr 23,NYY,,BOS,"L,2-11",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.307,0.373,0.68,3,0.25,0.007,0.3,0.0001,-0.07,3B
18,1293,18,Apr 24,NYY,,BOS,"L,2-3",CG(12),5,3,2,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0.243,0.338,0.429,0.766,3,2.09,0.27,2.39,0.0019,1.95,3B
19,1294,19,Apr 25,NYY,,BOS,"L,0-2",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.257,0.345,0.446,0.791,3,1.14,0.049,1.21,0.0003,0.48,3B
20,1295,20,Apr 27,NYY,,OAK,"W,10-8",CG,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.253,0.337,0.43,0.767,3,0.89,0.036,0.76,0.0002,-0.03,3B
21,1296,21,Apr 28,NYY,,OAK,"W,5-1",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.253,0.333,0.422,0.755,3,0.58,-0.005,0.53,0,-0.68,3B
22,1297,22,Apr 29,NYY,,OAK,"W,7-5",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.253,0.33,0.448,0.778,3,0.61,0.073,0.57,0.0004,0.47,3B
23,1298,23,Apr 30,NYY,,KCR,"W,5-2",CG,5,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.253,0.333,0.44,0.773,3,1.11,0.081,1.07,0.0005,0.36,3B
24,1299,24,May 1,NYY,,KCR,"W,12-4",CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.263,0.346,0.442,0.788,3,0.59,0.002,0.63,0,0.46,3B
