Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,2720,1,4/5/2021,NYY,,HOU,"L,3-5",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.25,0,0.25,3,0.81,-0.085,0.76,-0.0005,-0.68,DH
2,2721,2,4/6/2021,NYY,,HOU,"W,16-6",GS-8,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.333,0,0.333,3,0.7,0.038,0.61,0.0002,-1.06,DH
3,2722,3,4/7/2021,NYY,,HOU,"W,8-5",CG,4,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2,0.385,0.2,0.585,3,1.48,0.086,1.36,0.0005,0.5,DH
4,2723,5 (1),4/9/2021,NYY,@,DET,"W,8-4",CG,5,4,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0.214,0.389,0.429,0.817,3,0.24,0.084,0.24,0.0005,0.29,DH
5,2724,6,4/12/2021,NYY,@,TOR,"W,3-2",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.167,0.318,0.333,0.652,3,1.32,-0.143,1.38,-0.0009,-1.29,DH
6,2725,7,4/13/2021,NYY,@,TOR,"L,2-7",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.136,0.269,0.273,0.542,3,1.15,-0.123,1.3,-0.0008,-0.93,DH
7,2726,8,4/14/2021,NYY,@,TOR,"L,2-4",CG,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12,0.267,0.24,0.507,3,0.71,-0.026,0.78,-0.0002,-0.32,DH
8,2727,10 (1),4/16/2021,NYY,,SEA,"L,2-3",CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.1,0.229,0.2,0.429,3,1.72,-0.228,1.58,-0.0013,-1.55,DH
9,2728,11,4/17/2021,NYY,,SEA,"W,4-3",CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.118,0.231,0.294,0.525,6,1.24,0.084,1.01,0.0004,0.47,DH
10,2729,12,4/19/2021,NYY,,OAK,"L,2-3",CG(11),5,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.154,0.25,0.308,0.558,5,1.95,-0.048,1.72,-0.0003,0.39,DH
11,2730,13,4/20/2021,NYY,,OAK,"L,2-5",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.163,0.25,0.302,0.552,6,1.84,-0.109,1.55,-0.0006,-1.01,DH
12,2731,14,4/21/2021,NYY,,OAK,"L,3-7",CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0.156,0.269,0.289,0.558,5,1.07,0.099,0.84,0.0005,0.96,DH
13,2732,15,4/22/2021,NYY,,TBR,"W,6-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.143,0.25,0.265,0.515,5,1.34,-0.144,1.08,-0.0007,-1.44,DH
14,2733,16,4/23/2021,NYY,,TBR,"W,3-2",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.132,0.233,0.245,0.479,5,1.32,-0.144,1.16,-0.0008,-1,DH
15,2734,17,4/24/2021,NYY,,TBR,"L,1-8",GS-6,2,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.145,0.242,0.273,0.515,5,0.5,0.016,0.47,0.0001,0.75,DH
16,2735,20 (2),4/27/2021,NYY,@,TEX,"L,2-3",GS-9,4,3,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.19,0.288,0.379,0.667,5,1.22,0.295,1.01,0.0015,2.12,DH
17,2736,21,4/29/2021,NYY,@,BOS,"L,2-4",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.194,0.286,0.419,0.705,5,0.92,0.031,0.74,0.0002,0.34,DH
18,2737,22,4/30/2021,NYY,@,BOS,"L,0-8",GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0.274,0.4,0.674,5,0.73,-0.06,0.59,-0.0003,-0.53,DH
19,2738,23,5/1/2021,NYY,@,BOS,"L,7-8",CG,4,4,2,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0.203,0.286,0.464,0.749,3,1.58,0.334,1.13,0.0014,2.65,DH
20,2739,24,5/3/2021,NYY,@,BAL,"L,1-4",GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.194,0.275,0.444,0.719,3,1.22,-0.099,0.91,-0.0004,-0.9,DH
21,2740,46 (21),5/26/2021,NYY,,TOR,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.184,0.262,0.421,0.683,5,1.12,-0.116,1,-0.0006,-0.77,DH
22,2741,47,5/27/2021,NYY,@,TBR,"W,4-1",CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.188,0.261,0.45,0.711,5,0.78,0.159,0.62,0.0008,1.12,DH
