Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
1,2304,1,Mar 31,NYY,,DET,"W,6-3",CG,4,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0.75,1,1.75,4,0.64,0.079,0.65,0.0005,1,3B
2,2305,2,Apr 2,NYY,,DET,"W,10-6",GS-8,4,3,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0.6,0.75,1.6,2.35,4,0.54,0.14,0.56,0.0009,2.65,3B
3,2306,3,Apr 3,NYY,,DET,"L,7-10",CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0.538,0.9,1.438,4,1.17,-0.075,1.24,-0.0005,-0.73,3B
4,2307,4,Apr 4,NYY,,MIN,"W,4-3",CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0.357,0.471,0.929,1.399,4,0.75,0.077,0.78,0.0005,0.34,3B
5,2308,5,Apr 5,NYY,,MIN,"L,4-5",CG(10),4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333,0.429,0.778,1.206,4,0.49,-0.039,0.55,-0.0003,-0.14,3B
6,2309,6,Apr 7,NYY,,MIN,"W,4-3",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.286,0.4,0.667,1.067,4,1.06,-0.029,1.1,-0.0002,-0.51,3B
7,2310,7,Apr 8,NYY,@,BOS,"L,6-9",CG,4,2,3,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.304,0.448,0.783,1.231,4,1.44,0.105,1.71,0.0008,1.02,3B
8,2311,8,Apr 9,NYY,@,BOS,"W,9-4",CG,5,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.321,0.441,0.714,1.155,4,0.41,0.045,0.44,0.0003,0.39,3B
9,2312,10 (1),Apr 13,NYY,,BAL,"W,7-4",CG,4,3,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0.355,0.474,0.806,1.28,4,0.73,0.21,0.88,0.0015,2.76,3B
10,2313,11,Apr 14,NYY,,BAL,"W,6-5",CG(10),5,3,1,3,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0.412,0.512,0.882,1.394,4,1.62,0.288,2.21,0.0024,2.19,3B
11,2314,12,Apr 15,NYY,,TEX,"L,3-5",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.405,0.511,0.865,1.376,4,0.97,-0.011,1.11,-0.0001,-0.24,3B
12,2315,13,Apr 16,NYY,,TEX,"W,5-2",GS-7,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.385,0.5,0.821,1.321,4,0.51,-0.023,0.57,-0.0002,-0.57,3B
13,2316,16 (2),Apr 20,NYY,@,TOR,"W,6-2",CG,5,2,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,0.366,0.491,0.78,1.271,4,0.73,-0.011,1.01,-0.0001,-0.97,3B
14,2317,17,Apr 23,NYY,@,BAL,"W,15-3",GS-8,5,5,2,2,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0.37,0.483,0.826,1.309,4,0.51,0.097,0.71,0.0008,3.67,3B
15,2318,18,Apr 24,NYY,@,BAL,"W,6-3",CG(11),5,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.354,0.492,0.792,1.284,4,1.78,-0.221,2.51,-0.0019,-0.02,3B
16,2319,19,Apr 25,NYY,,CHW,"L,0-2",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.346,0.478,0.75,1.228,4,1.4,-0.011,1.79,-0.0001,-0.3,3B
17,2320,20,Apr 26,NYY,,CHW,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.321,0.452,0.696,1.148,4,2.37,-0.227,2.93,-0.0017,-1.16,DH
18,2321,21,Apr 27,NYY,,CHW,"W,3-1",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.317,0.442,0.667,1.108,4,0.53,-0.011,0.64,-0.0001,-0.58,3B
19,2322,22,Apr 28,NYY,,CHW,"W,12-3",GS-8,4,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.313,0.432,0.656,1.088,4,0.61,-0.043,0.75,-0.0003,0.62,3B
20,2323,23,Apr 29,NYY,,TOR,"L,3-5",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.29,0.407,0.609,1.016,4,1.73,-0.354,2.38,-0.0029,-2.72,3B
21,2324,25 (1),May 1,NYY,,TOR,"W,5-2",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.274,0.389,0.575,0.964,4,0.46,-0.048,0.66,-0.0004,-0.64,3B
22,2325,26,May 2,NYY,@,DET,"W,5-3",CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.269,0.379,0.551,0.93,4,1.49,0.033,2,0.0003,-0.18,3B
23,2326,27,May 3,NYY,@,DET,"L,2-4",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.374,0.537,0.91,4,1.06,-0.038,1.38,-0.0003,-0.36,3B
24,2327,28,May 4,NYY,@,DET,"L,0-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.256,0.359,0.512,0.871,4,0.74,-0.08,0.99,-0.0006,-1.2,3B
25,2328,29,May 5,NYY,@,DET,"L,3-6",4-GF,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.371,0.523,0.894,7,0.61,0.048,0.78,0.0004,0.89,PR 3B
26,2329,30,May 6,NYY,@,TEX,"W,4-1",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0.367,0.511,0.878,4,0.66,-0.054,0.84,-0.0004,-0.96,3B
27,2330,31,May 7,NYY,@,TEX,"L,5-7",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.263,0.363,0.495,0.858,4,1.3,-0.084,1.69,-0.0007,-0.63,3B
28,2331,32,May 8,NYY,@,TEX,"W,12-5",CG,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.263,0.364,0.485,0.849,4,1.1,-0.037,1.51,-0.0003,-0.45,3B
29,2332,33,May 10,NYY,,KCR,"W,3-1",CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0.262,0.361,0.476,0.836,4,1.67,0.142,2.24,0.0011,0.73,3B
30,2333,34,May 11,NYY,,KCR,"L,3-4",CG(11),6,5,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0.259,0.359,0.463,0.822,4,1.8,-0.214,2.53,-0.0018,-0.85,3B
31,2334,35,May 12,NYY,,KCR,"L,5-11",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.259,0.356,0.482,0.838,4,0.4,-0.035,0.56,-0.0003,0.13,3B
32,2335,36,May 13,NYY,,BOS,"L,4-5",CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.261,0.36,0.478,0.839,4,1.67,0.117,2.33,0.001,0.54,3B
33,2336,37,May 14,NYY,,BOS,"L,0-6",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.252,0.35,0.462,0.812,4,1.33,-0.133,1.79,-0.0011,-1.5,3B
34,2337,38,May 15,NYY,,BOS,"L,5-7",CG,5,5,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.25,0.345,0.46,0.805,4,1.04,0.052,1.39,0.0004,0.18,3B
35,2338,39,May 16,NYY,@,TBR,"L,5-6",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.242,0.336,0.445,0.781,4,0.73,-0.072,0.96,-0.0006,-0.56,DH
36,2339,40,May 17,NYY,@,TBR,"W,6-2",CG,4,4,2,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0.25,0.34,0.492,0.832,4,0.66,0.28,0.82,0.0021,1.04,3B
37,2340,41,May 18,NYY,@,BAL,"W,4-1",CG(15),7,7,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.266,0.35,0.496,0.846,4,1.63,0.013,1.95,0.0001,0.36,3B
38,2341,42,May 19,NYY,@,BAL,"W,13-2",GS-8,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.261,0.348,0.486,0.833,4,0.2,-0.019,0.26,-0.0002,-0.25,3B
39,2342,43,May 20,NYY,,NYM,"L,1-2",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.26,0.345,0.486,0.832,4,1.35,-0.054,1.67,-0.0004,-0.11,3B
40,2343,44,May 21,NYY,,NYM,"W,7-3",CG,4,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.267,0.349,0.507,0.856,4,0.43,0.103,0.52,0.0007,1.17,DH
41,2344,45,May 22,NYY,,NYM,"W,9-3",CG,5,5,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.284,0.362,0.516,0.878,4,1.22,0.15,1.52,0.0011,1.29,3B
42,2345,46,May 23,NYY,,TOR,"L,3-7",CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.289,0.365,0.516,0.88,4,1.03,-0.048,1.52,-0.0004,0.26,3B
43,2346,47,May 24,NYY,,TOR,"W,5-4",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.288,0.362,0.509,0.871,4,1.27,-0.146,1.8,-0.0012,-1.43,3B
44,2347,48,May 25,NYY,,TOR,"W,7-3",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.287,0.36,0.503,0.863,4,0.44,-0.046,0.64,-0.0004,-0.45,DH
45,2348,49,May 27,NYY,@,SEA,"L,3-4",CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.288,0.363,0.5,0.863,4,1.02,0.016,1.35,0.0001,0.48,3B
46,2349,50,May 28,NYY,@,SEA,"L,4-5",CG(12),6,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.284,0.357,0.489,0.845,4,1.57,-0.182,2,-0.0014,-1.21,3B
47,2350,51,May 29,NYY,@,SEA,"W,7-1",CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.282,0.353,0.481,0.834,4,0.51,-0.107,0.67,-0.0009,-1.55,3B
48,2351,52,May 30,NYY,@,OAK,"W,5-0",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.277,0.351,0.473,0.824,4,0.31,-0.001,0.43,0,-0.23,3B
49,2352,53,May 31,NYY,@,OAK,"W,10-3",GS-8,4,4,1,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0.287,0.358,0.479,0.837,4,0.75,0.1,1.04,0.0008,2.55,3B
50,2353,54,Jun 1,NYY,@,OAK,"W,4-2",CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.292,0.361,0.484,0.845,4,0.92,0.116,1.32,0.001,0.92,DH
51,2354,55,Jun 3,NYY,@,LAA,"L,2-3",CG,4,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.292,0.364,0.487,0.851,4,1.39,0.018,2.09,0.0002,0.55,3B
52,2355,56,Jun 4,NYY,@,LAA,"W,3-2",CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.291,0.362,0.497,0.859,4,0.96,0.226,1.46,0.0021,1.24,3B
53,2356,57,Jun 5,NYY,@,LAA,"W,5-3",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.287,0.36,0.49,0.85,4,0.57,-0.042,0.86,-0.0004,-0.41,3B
