Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
28,670,28,May 7,SEA,,ANA,"W,8-2",CG,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.333,0.477,0.657,1.133,3,0.86,-0.089,1.29,-0.0008,-1.53,SS
29,671,29,May 8,SEA,@,TEX,"L,1-10",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.33,0.47,0.641,1.111,3,0.28,-0.02,0.4,-0.0002,-0.38,SS
30,672,30,May 9,SEA,@,TEX,"W,13-3",GS-8,5,5,2,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0.352,0.482,0.676,1.158,3,0.49,0.197,0.68,0.0017,4.17,SS
31,673,31,May 10,SEA,@,TEX,"L,6-7",CG,5,4,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.357,0.486,0.696,1.183,3,1.73,0.099,2.51,0.0009,1.16,SS
32,674,32,May 11,SEA,@,OAK,"L,6-7",CG,5,5,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0.359,0.483,0.709,1.193,3,2.04,-0.076,3.09,-0.0007,0.1,SS
33,675,33,May 12,SEA,@,OAK,"L,7-9",CG,5,3,2,2,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0.367,0.487,0.717,1.204,3,1.24,0.241,1.88,0.0022,1.84,SS
34,676,34,May 13,SEA,@,OAK,"W,6-4",CG,5,5,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0.36,0.478,0.72,1.198,3,0.79,0.153,1.18,0.0014,0.96,SS
35,677,35,May 14,SEA,@,OAK,"L,2-7",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.357,0.472,0.705,1.178,3,0.79,-0.073,1.2,-0.0007,-0.86,SS
36,678,36,May 15,SEA,,MIN,"W,14-0",GS-6,4,3,2,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0.364,0.479,0.727,1.206,3,0.41,0.135,0.49,0.001,0.51,SS
37,679,37,May 16,SEA,,MIN,"W,9-5",CG,5,4,1,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0.368,0.483,0.721,1.203,3,0.3,0.007,0.35,0.0001,0.72,SS
38,680,38,May 17,SEA,,MIN,"W,4-0",CG,4,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.37,0.489,0.717,1.206,3,0.63,0.07,0.81,0.0005,0.67,SS
39,681,39,May 19,SEA,,TBD,"W,7-6",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.366,0.483,0.725,1.209,3,1.2,-0.019,1.48,-0.0001,-1.25,SS
40,682,40,May 20,SEA,,TBD,"L,3-4",CG,4,4,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0.363,0.478,0.733,1.211,3,1.28,0.075,1.67,0.0006,0.29,SS
41,683,41,May 21,SEA,,TBD,"W,8-4",CG,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.364,0.476,0.728,1.205,3,0.57,-0.019,0.74,-0.0001,-0.22,SS
